³âµµ,È¸Â÷,ÃßÃ·ÀÏ,1µî´çÃ·ÀÚ¼ö,1µî´çÃ·±Ý¾×,2µî´çÃ·ÀÚ¼ö,2µî´çÃ·±Ý¾×,3µî´çÃ·ÀÚ¼ö,3µî´çÃ·±Ý¾×,4µî´çÃ·ÀÚ¼ö,4µî´çÃ·±Ý¾×,5µî´çÃ·ÀÚ¼ö,5µî´çÃ·±Ý¾×,´çÃ·¹øÈ£1,´çÃ·¹øÈ£2,´çÃ·¹øÈ£3,´çÃ·¹øÈ£4,´çÃ·¹øÈ£5,´çÃ·¹øÈ£6,´çÃ·¹øÈ£º¸³Ê½º
2019,858,2019.05.11,9,2202347459 ,41,80573688 ,"2,075",1592059 ,"106,176",50000 ,"1,789,295",5000 ,9,13,32,38,39,43,23
,857,2019.05.04,15,1284915425 ,62,51811106 ,"2,367",1357114 ,"111,971",50000 ,"1,833,940",5000 ,6,10,16,28,34,38,43
,856,2019.04.27,5,3977927550 ,53,62546031 ,"1,949",1700842 ,"104,537",50000 ,"1,700,369",5000 ,10,24,40,41,43,44,17
,855,2019.04.20,9,2269510500 ,61,55807636 ,"2,022",1683614 ,"102,532",50000 ,"1,765,328",5000 ,8,15,17,19,43,44,7
,854,2019.04.13,6,3421706750 ,44,77766063 ,"1,865",1834696 ,"99,152",50000 ,"1,716,083",5000 ,20,25,31,32,36,43,3
,853,2019.04.06,7,2885006786 ,90,37398237 ,"2,018",1667910 ,"105,158",50000 ,"1,787,511",5000 ,2,8,23,26,27,44,13
,852,2019.03.30,4,4801543407 ,67,47776552 ,"2,328",1375013 ,"114,850",50000 ,"1,876,933",5000 ,11,17,28,30,33,35,9
,851,2019.03.23,8,2483692313 ,70,47308425 ,"2,101",1576197 ,"106,132",50000 ,"1,750,048",5000 ,14,18,22,26,31,44,40
,850,2019.03.16,6,3377587875 ,55,61410689 ,"2,023",1669594 ,"101,591",50000 ,"1,727,367",5000 ,16,20,24,28,36,39,5
,849,2019.03.09,17,1158252883 ,56,58602081 ,"2,682",1223608 ,"113,125",50000 ,"1,851,371",5000 ,5,13,17,29,34,39,3
,848,2019.03.02,7,3011580858 ,42,83655024 ,"2,109",1665961 ,"103,845",50000 ,"1,792,259",5000 ,1,2,16,22,38,39,34
,847,2019.02.23,8,2520846657 ,40,84028222 ,"2,443",1375821 ,"114,324",50000 ,"1,857,205",5000 ,12,16,26,28,30,42,22
,846,2019.02.16,13,1596884395 ,69,50143713 ,"1,997",1732557 ,"106,009",50000 ,"1,797,728",5000 ,5,18,30,41,43,45,13
,845,2019.02.09,11,1891217182 ,56,61914849 ,"2,038",1701292 ,"105,790",50000 ,"1,782,933",5000 ,1,16,29,33,40,45,6
,844,2019.02.02,18,1162963542 ,73,47793023 ,"2,406",1450080 ,"120,078",50000 ,"1,997,556",5000 ,7,8,13,15,33,45,18
,843,2019.01.26,5,4012970100 ,52,64310419 ,"2,002",1670401 ,"105,717",50000 ,"1,777,953",5000 ,19,21,30,33,34,42,4
,842,2019.01.19,10,2035475025 ,42,80772819 ,"2,039",1663786 ,"103,190",50000 ,"1,735,911",5000 ,14,26,32,36,39,42,38
,841,2019.01.12,17,1116095714 ,88,35934900 ,"2,490",1269989 ,"119,648",50000 ,"1,901,965",5000 ,5,11,14,30,33,38,24
,840,2019.01.05,10,2042961788 ,51,66763458 ,"2,275",1496676 ,"110,586",50000 ,"1,852,019",5000 ,2,4,11,28,29,43,27
2018,839,2018.12.29,13,1359454904 ,48,61364284 ,"2,664",1105663 ,"126,227",50000 ,"1,946,924",5000 ,3,9,11,12,13,19,35
,838,2018.12.22,5,3813733050 ,68,46736925 ,"2,220",1431582 ,"107,897",50000 ,"1,777,501",5000 ,9,14,17,33,36,38,20
,837,2018.12.15,6,3144449125 ,47,66903173 ,"2,012",1562848 ,"97,334",50000 ,"1,656,959",5000 ,2,25,28,30,33,45,6
,836,2018.12.08,14,1257843670 ,62,47338203 ,"2,230",1316130 ,"103,846",50000 ,"1,719,260",5000 ,1,9,11,14,26,28,19
,835,2018.12.01,15,1233681125 ,58,53175911 ,"2,306",1337469 ,"106,763",50000 ,"1,767,089",5000 ,9,10,13,28,38,45,35
,834,2018.11.24,11,1690693671 ,47,65949044 ,"1,967",1575804 ,"99,132",50000 ,"1,643,491",5000 ,6,8,18,35,42,43,3
,833,2018.11.17,8,2356317282 ,53,59278423 ,"1,945",1615299 ,"103,152",50000 ,"1,715,510",5000 ,12,18,30,39,41,42,19
,832,2018.11.10,9,2088204584 ,60,52205115 ,"2,137",1465750 ,"102,312",50000 ,"1,706,379",5000 ,13,14,19,26,40,43,30
,831,2018.11.03,16,1110702258 ,61,48555290 ,"2,660",1113486 ,"117,332",50000 ,"1,849,959",5000 ,3,10,16,19,31,39,9
,830,2018.10.27,9,2060528750 ,80,38634915 ,"2,142",1442948 ,"106,206",50000 ,"1,764,071",5000 ,5,6,16,18,37,38,17
,829,2018.10.20,8,2444650641 ,45,72434094 ,"1,837",1774379 ,"94,679",50000 ,"1,637,836",5000 ,4,5,31,35,43,45,29
,828,2018.10.13,13,1455185972 ,62,50853274 ,"1,968",1602085 ,"100,644",50000 ,"1,704,198",5000 ,4,7,13,29,31,39,18
,827,2018.10.06,15,1206500375 ,46,65570673 ,"2,113",1427474 ,"106,164",50000 ,"1,761,371",5000 ,5,11,12,29,33,44,14
,826,2018.09.29,9,2075192084 ,47,66229535 ,"2,232",1394619 ,"108,626",50000 ,"1,755,153",5000 ,13,16,24,25,33,36,42
,825,2018.09.22,12,1658710563 ,53,62592852 ,"2,249",1475065 ,"113,070",50000 ,"1,850,484",5000 ,8,15,21,31,33,38,42
,824,2018.09.15,15,1256646550 ,51,61600322 ,"2,106",1491746 ,"105,359",50000 ,"1,745,566",5000 ,7,9,24,29,34,38,26
,823,2018.09.08,9,2009843917 ,61,49422392 ,"2,348",1283972 ,"112,065",50000 ,"1,795,737",5000 ,12,18,24,26,39,40,15
,822,2018.09.01,3,5930898625 ,79,37537334 ,"2,153",1377357 ,"108,789",50000 ,"1,735,565",5000 ,9,18,20,24,27,36,12
,821,2018.08.25,14,1316155956 ,55,55836920 ,"2,100",1462396 ,"101,082",50000 ,"1,687,355",5000 ,1,12,13,24,29,44,16
